,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
841,9014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
842,9023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843,9024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
845,9039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
846,9050,4.0,0.0,0.0,3.0,2.0,1.0,2.0,4.0,0.0,1.0,3.0,2.0,1.0,4.0
847,9064,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0
848,9068,15.0,2.0,0.0,37.0,34.0,21.0,40.0,24.0,0.0,49.0,37.0,40.0,33.0,40.0
849,9088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
850,9094,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,9095,0.0,0.0,0.0,4.0,4.0,0.0,10.0,1.0,0.0,3.0,11.0,2.0,3.0,4.0
852,9096,4.0,0.0,0.0,12.0,6.0,1.0,5.0,11.0,0.0,3.0,7.0,11.0,2.0,4.0
853,9097,0.0,0.0,0.0,8.0,4.0,2.0,6.0,0.0,0.0,5.0,1.0,9.0,0.0,5.0
854,9099,4.0,0.0,0.0,15.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
855,9100,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,9101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
857,9103,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0
858,9110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
859,9118,3.0,0.0,0.0,7.0,2.0,3.0,5.0,1.0,0.0,16.0,6.0,22.0,4.0,37.0
860,9122,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0
861,9124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
862,9130,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
863,9145,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0
864,9167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
865,9210,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
866,9213,18.0,0.0,0.0,27.0,33.0,16.0,46.0,16.0,0.0,28.0,15.0,33.0,12.0,28.0
867,9214,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,6.0,2.0,3.0
868,9217,6.0,0.0,0.0,5.0,1.0,3.0,11.0,5.0,0.0,3.0,2.0,9.0,3.0,4.0
