,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
1199,41555,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
1200,41580,2.0,0.0,0.0,5.0,4.0,5.0,9.0,1.0,1.0,6.0,1.0,5.0,2.0,4.0
1201,41602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1202,41798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0
1203,41887,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0
1204,41889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1205,42015,2.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0
1206,42046,14.0,2.0,0.0,23.0,25.0,16.0,24.0,11.0,1.0,25.0,16.0,29.0,14.0,31.0
1207,42215,29.0,4.0,0.0,32.0,27.0,15.0,39.0,21.0,2.0,31.0,17.0,31.0,22.0,31.0
1208,42235,10.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0
1209,43073,2.0,0.0,0.0,5.0,2.0,4.0,2.0,1.0,0.0,1.0,8.0,2.0,0.0,1.0
1210,43090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,43192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,43202,1.0,0.0,0.0,3.0,3.0,1.0,5.0,1.0,0.0,3.0,2.0,4.0,2.0,5.0
1213,43210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1214,43253,5.0,1.0,0.0,21.0,12.0,8.0,8.0,4.0,0.0,16.0,14.0,11.0,8.0,10.0
1215,43320,1.0,1.0,0.0,4.0,11.0,7.0,6.0,1.0,0.0,3.0,4.0,3.0,5.0,1.0
1216,44125,2.0,0.0,0.0,9.0,11.0,4.0,10.0,1.0,1.0,7.0,1.0,12.0,1.0,4.0
1217,44136,0.0,0.0,0.0,4.0,7.0,2.0,3.0,1.0,0.0,7.0,4.0,4.0,1.0,4.0
1218,49339,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1219,49343,3.0,0.0,0.0,2.0,4.0,1.0,4.0,3.0,0.0,2.0,3.0,6.0,2.0,5.0
1220,49347,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0
1221,50345,2.0,0.0,0.0,6.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,1.0,7.0
1222,50346,6.0,2.0,0.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0
1223,50348,7.0,3.0,0.0,2.0,6.0,8.0,9.0,6.0,0.0,5.0,7.0,8.0,4.0,7.0
1224,51034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1225,51070,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0
1226,51072,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1227,51073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1228,51216,0.0,0.0,0.0,4.0,11.0,0.0,2.0,0.0,0.0,3.0,7.0,3.0,0.0,3.0
1229,51219,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0
1230,51290,0.0,0.0,0.0,9.0,6.0,3.0,6.0,0.0,0.0,8.0,7.0,8.0,4.0,10.0
1231,51374,4.0,3.0,0.0,6.0,5.0,5.0,6.0,7.0,2.0,5.0,2.0,3.0,5.0,4.0
1232,51386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1233,51410,6.0,0.0,0.0,9.0,9.0,8.0,10.0,6.0,0.0,6.0,8.0,12.0,6.0,7.0
1234,51415,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1235,51440,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1236,51499,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1237,51602,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1238,52003,13.0,1.0,0.0,26.0,41.0,19.0,40.0,7.0,0.0,27.0,28.0,30.0,17.0,30.0
1239,52051,3.0,1.0,0.0,5.0,1.0,5.0,10.0,2.0,0.0,3.0,8.0,7.0,5.0,5.0
1240,52100,9.0,0.0,0.0,19.0,33.0,19.0,20.0,6.0,0.0,23.0,13.0,29.0,16.0,29.0
1241,52113,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1242,52180,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0
1243,52228,0.0,0.0,0.0,5.0,1.0,2.0,5.0,1.0,0.0,4.0,4.0,1.0,4.0,7.0
1244,53001,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,53010,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,53014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
1247,53054,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1248,53061,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0
1249,53063,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1250,53069,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1251,53070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1252,53085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
1253,53086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1254,53099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
